시군구별,2017,2018,2019,2020,2021,2022,2023
서울특별시,0.836,0.761,0.717,0.642,0.626,0.593,0.552
부산광역시,0.976,0.899,0.827,0.747,0.728,0.723,0.664
대구광역시,1.067,0.987,0.932,0.807,0.785,0.757,0.702
인천광역시,1.007,1.006,0.94,0.829,0.778,0.747,0.694
광주광역시,1.053,0.972,0.913,0.811,0.896,0.844,0.706
대전광역시,1.075,0.952,0.883,0.805,0.81,0.842,0.787
울산광역시,1.261,1.131,1.084,0.984,0.94,0.848,0.814
세종특별자치시,1.668,1.566,1.472,1.277,1.277,1.121,0.971
경기도,1.069,1.002,0.943,0.878,0.853,0.839,0.766
강원특별자치도,1.123,1.067,1.082,1.036,0.979,0.968,0.893
충청북도,1.235,1.172,1.05,0.983,0.949,0.871,0.886
충청남도,1.276,1.186,1.112,1.029,0.963,0.909,0.842
전라북도,1.151,1.044,0.971,0.909,0.85,0.817,0.78
전라남도,1.325,1.24,1.234,1.145,1.017,0.969,0.972
경상북도,1.256,1.167,1.089,1.003,0.966,0.93,0.86
경상남도,1.227,1.122,1.046,0.945,0.903,0.838,0.799
제주특별자치도,1.305,1.22,1.145,1.021,0.951,0.919,0.827
