구,소계,남자,여자
종로구,150011,71561,78450
중구,131589,63248,68341
용산구,218370,105220,113150
성동구,282385,136194,146191
광진구,349307,166408,182899
동대문구,359219,173606,185613
중랑구,386131,188352,197779
성북구,435492,207417,228075
강북구,289678,139053,150625
도봉구,306926,148222,158704
노원구,498358,238562,259796
은평구,466809,220765,246044
서대문구,319749,148996,170753
마포구,373874,172953,200921
양천구,435867,212218,223649
강서구,563515,269481,294034
구로구,412441,202945,209496
금천구,239577,120697,118880
영등포구,397514,194953,202561
동작구,387792,186531,201261
관악구,496469,248279,248190
서초구,412611,196260,216351
강남구,564280,269671,294609
송파구,657991,315479,342512
강동구,469464,228909,240555
