시군구별,2017,2018,2019,2020,2021,2022,2023
서울특별시,65389,58074,53673,47445,45531,42602,39456
부산광역시,21480,19152,17049,15058,14446,14134,12866
대구광역시,15946,14400,13233,11193,10661,10134,9410
인천광역시,20445,20087,18522,16040,14947,14464,13659
광주광역시,10120,9105,8364,7318,7956,7446,6172
대전광역시,10851,9337,8410,7481,7414,7677,7194
울산광역시,9381,8149,7539,6617,6127,5399,5082
세종특별자치시,3504,3703,3819,3468,3570,3209,2761
경기도,94088,88175,83198,77737,76139,75323,68817
강원특별자치도,8958,8351,8283,7835,7357,7278,6688
충청북도,11394,10586,9333,8607,8190,7452,7580
충청남도,15670,14380,13228,11950,10984,10221,9436
전라북도,11348,10001,8971,8165,7475,7032,6622
전라남도,12354,11238,10832,9738,8430,7888,7828
경상북도,17957,16079,14472,12873,12045,11311,10186
경상남도,23849,21224,19250,16823,15562,14017,13049
제주특별자치도,5037,4781,4500,3989,3728,3599,3222
