지역,2016,2017,2018,2019,2020
계,51218,51362,51607,51709,51781
서울,9843,9766,9705,9662,9602
부산,3500,3100,3400,3300,3344
대구,2461,2458,2450,2432,2419
인천,2907,2924,2939,2944,2951
광주,1502,1495,1493,1494,1488
대전,1536,1528,1518,1509,1500
울산,1166,1159,1154,1147,1140
세종,234,266,304,331,349
경기,12600,12786,13031,13238,13405
강원,1521,1521,1521,1517,1515
충북,1601,1609,1619,1626,1632
충남,2126,2153,2180,2188,2204
전북,1835,1829,1820,1803,1792
전남,1798,1795,1790,1773,1764
경북,2683,2675,2674,2665,2655
경남,3338,3339,3356,3350,3350
제주,618,635,653,660,670
수도권,25350,25476,25675,25844,25958
